Park,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
Kings Canyon,2013,17525,16319,21461,27905,68820,83204,110798,95281,73715,27375,14906,10235
Kings Canyon,2012,20730,18342,21248,27752,51659,97976,104026,96336,58757,53215,22907,18085
Kings Canyon,2011,20336,15770,15722,28776,55308,70748,105929,96141,69304,48408,21604,18764
Kings Canyon,2010,20643,17933,21025,26051,53571,82339,115369,96700,80168,49149,17668,17589
Kings Canyon,2009,21375,17979,27272,33067,69324,74804,106007,93105,70631,51230,26956,17546
Kings Canyon,2008,22248,21445,30603,32721,59151,70849,95855,95908,55771,47003,26173,17143
Kings Canyon,2007,19707,19583,22021,29968,59223,71757,103295,91726,65545,50086,26383,20835
Kings Canyon,2006,20063,18436,17507,26699,55953,70636,100130,95774,63316,47937,22613,13702
Kings Canyon,2005,17858,17338,24369,28788,57008,77865,104051,91887,66683,57469,29519,22058
Kings Canyon,2004,21380,20851,24187,34263,63068,68116,53410,92037,65570,40080,24822,17251
Kings Canyon,2003,20906,17598,23965,28351,68068,67111,94396,97916,55850,43998,21486,16342
Kings Canyon,2002,23120,18934,22486,25650,50253,54855,90372,96069,69009,54941,21833,17898
Kings Canyon,2001,17826,16365,22091,25808,51912,78441,94654,89671,58357,41150,23627,21885
Kings Canyon,2000,13830,17538,21549,28223,57181,66510,93497,81917,61091,41692,25328,20631
Kings Canyon,1999,16518,18174,20623,26019,54881,71531,104439,89776,65175,48846,28203,15349
Kings Canyon,1998,19255,15734,22444,23878,41226,68291,95696,93627,74852,41584,21973,21652
Kings Canyon,1997,16037,18529,25645,26791,52303,58273,73661,78440,55700,39180,21621,18538
Kings Canyon,1996,34268,17663,20857,33460,66479,70494,83968,48042,55137,35138,20364,16879
Kings Canyon,1995,20864,8329,17727,132994,165356,33085,138197,95547,73947,110789,28764,7195
Kings Canyon,1994,20974,14224,27654,30859,60380,101433,129593,120950,87965,80213,28583,23102
Kings Canyon,1993,19951,20161,24123,33816,69351,77216,100960,108697,81362,53900,26877,20101
Kings Canyon,1992,30226,21856,26332,36144,70283,80927,105051,92657,79987,55395,16418,22170
Kings Canyon,1991,30164,29817,25853,42660,108788,144494,189910,213332,130229,83938,43917,27920
Kings Canyon,1990,26604,25598,37590,58466,102842,159930,186471,186938,128544,76732,47479,25673
Kings Canyon,1989,30770,22031,34126,53807,111393,126739,176264,178942,133315,89122,47775,33065
Kings Canyon,1988,26047,34333,42725,48728,101128,127729,179137,179637,117842,85651,41690,23048
Kings Canyon,1987,34834,33469,32689,59692,116526,149943,184338,198763,119573,79283,41637,30425
Kings Canyon,1986,35798,19316,28565,50360,96620,131429,190991,191749,105393,84278,49705,44581
Kings Canyon,1985,25841,23540,27226,41122,85512,110626,165174,175699,103557,56256,25827,34076
Kings Canyon,1984,27727,29655,32240,42301,92697,130025,161812,163888,136681,62373,28118,29745
Kings Canyon,1983,18988,16406,15988,15759,23961,86066,155307,185663,123432,72422,29159,22604
Kings Canyon,1982,16735,18663,17837,17399,70816,110130,177301,196353,109741,59197,20039,16833
Kings Canyon,1981,23768,20102,15349,19701,68800,129944,171904,157059,95669,41462,15462,17630
Kings Canyon,1980,14741,22240,10099,11489,56962,105143,166250,198338,100302,66108,40740,26653
Kings Canyon,1979,19924,18242,18114,37101,63777,111795,156792,163878,99460,76770,25652,12670
Lassen Volcanic,2025,7527,6438,6531,11151,36333,84606,113063,107873,71747,44904,6798,7809
Lassen Volcanic,2024,7116,6786,6072,6978,34227,72903,92058,16641,56526,42657,11793,3894
Lassen Volcanic,2023,5475,5775,5775,6180,23184,52352,103383,83646,69877,44773,9495,9063
Lassen Volcanic,2022,9894,8184,7764,13539,21836,70558,110025,94788,53204,41193,9063,6243
Lassen Volcanic,2021,10455,8616,8847,18873,53906,105549,120113,558,0,14856,11484,6378
Lassen Volcanic,2020,10770,11655,6933,0,3108,83355,135668,120112,67992,72363,16947,13371
Lassen Volcanic,2019,8646,6561,7944,12477,25170,63803,105535,98109,75502,88428,12879,11985
Lassen Volcanic,2018,10263,7194,7773,21216,34144,75220,114368,91422,75514,45236,9480,7605
Lassen Volcanic,2017,9231,7203,7002,10518,31173,58880,122834,111514,88592,40581,10335,9393
Lassen Volcanic,2016,9627,8730,8967,12294,29355,74193,120958,105114,88631,64396,8373,5430
Lassen Volcanic,2015,9084,7212,8262,10980,31023,63211,106868,106166,70956,37395,8829,8106
Lassen Volcanic,2014,5787,5835,8472,8434,29121,66774,98926,93162,62349,33405,10392,10320
Lassen Volcanic,2013,14298,7611,5847,9906,26468,67368,102986,104876,64968,7086,11246,4749
Lassen Volcanic,2012,6702,5970,1758,9867,28548,56793,98098,91293,59874,35415,6531,6804
Lassen Volcanic,2011,7518,4644,7119,6402,20024,44712,83008,70924,68174,27290,5949,5505
Lassen Volcanic,2010,8364,4842,7146,7428,18154,50934,90517,74012,63200,45603,7908,6462
Lassen Volcanic,2009,6390,7149,6555,6492,21683,54537,82833,81082,57226,24094,9087,8511
Lassen Volcanic,2008,6303,5568,6996,7722,22446,54644,84863,85597,60012,27025,8610,7575
Lassen Volcanic,2007,6489,5127,7026,8826,28153,58337,91548,92588,55086,25758,9555,6564
